id_event,id_section,"title",id_film,"description","rooms","url_ticket","date","time",published,soldout,reprogrammed,"reprogramcode",is_private,is_free,id_place,"created_ts","updated_ts",id_film2,id_film3,id_film4,id_film5,id_film6,id_film7,id_film8,id_film9,id_film10,"tags"
1969,72,"Sodankylä Forever: the Century of Cinema / The Yearning for the First Cinema Exp",855,"","HOYTS7",NULL,"2012-04-22","22:15:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:47:18","2012-03-23 21:47:18",852,0,0,0,0,0,0,0,0,NULL
1970,74,"Hirsch - Programa 4",836,"","Sala Leopoldo Lugones",NULL,"2012-04-16","21:30:00",1,0,0,"",NULL,NULL,3,"2012-03-23 21:47:42","2012-03-23 21:47:42",834,837,839,835,0,0,0,0,0,NULL
1971,68,"BAL. EXHIBICIÓN DE WORK IN PROGRESS CON PRESENTACIÓN",0,"La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.<br> 
<i>Tickets for this special activity are free of charge. Admission is subject to venue capacity.</i><br> 
Para esta actividad en el Hoyts Abasto Shopping las entradas deben retirarse el mismo día en el puesto de informes BAFICI ubicado en el Patio del Zorzal del Abasto Shopping, a partir de las 10 h.<br> 
<i>Tickets for this activity taking place at Hoyts Abasto Shopping must be picked up on the same day of the event at the BAFICI Information Desk, located at Patio del Zorzal in the Abasto Shopping Mall, starting at 10 a.m.</i> 
","HOYTS5",NULL,"2012-04-13","17:00:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:48:11","2012-03-27 18:23:19",0,0,0,0,0,0,0,0,0,NULL
1972,5,"Cortos - Competencia - Programa 2",542,"","Auditorio",NULL,"2012-04-22","22:15:00",1,0,0,"",NULL,NULL,5,"2012-03-23 21:49:10","2012-03-24 13:39:31",541,549,539,538,0,0,0,0,0,NULL
1973,66,"MESA INCAA",0,"<b> FOMENTO DE LA INDUSTRIA AUDIOVISUAL</b><br>
Presentado por autoridades del INCAA.<br>
<br>
La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.
<i>Admission to this special activity is free and subject to venue capacity.</i><br>
Para esta actividad en el Auditorio / Punto de Encuentro BAFICI asistir directamente.<br>
<i>For this activity taking place at the Auditorium / BAFICI Meeting Point no ticket is required.</i>","Auditorio",NULL,"2012-04-13","19:00:00",1,0,0,"",NULL,NULL,19,"2012-03-23 21:50:31","2012-03-27 18:06:42",0,0,0,0,0,0,0,0,0,NULL
1974,0,"Pets / L’Apollonide - Souvenirs de la maison close",641,"","HOYTS8",NULL,"2012-04-22","22:45:00",1,1,0,"",NULL,NULL,1,"2012-03-23 21:52:08","2012-04-09 23:28:05",551,0,0,0,0,0,0,0,0,NULL
1975,79,"East of War",763,"","Sala Leopoldo Lugones",NULL,"2012-04-22","19:30:00",1,0,0,"",NULL,NULL,3,"2012-03-23 21:55:06","2012-03-23 21:55:06",0,0,0,0,0,0,0,0,0,NULL
1976,81,"Joy Division",739,"","NULL",NULL,"2012-04-22","19:45:00",1,1,0,"",NULL,NULL,17,"2012-03-23 21:55:52","2012-04-10 21:22:00",0,0,0,0,0,0,0,0,0,NULL
1977,4,"Al cielo ",513,"","HOYTS11",NULL,"2012-04-22","19:45:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:56:41","2012-03-23 21:56:41",0,0,0,0,0,0,0,0,0,NULL
1978,13,"Jardines ",597,"","Auditorio",NULL,"2012-04-22","19:45:00",1,0,0,"",NULL,NULL,5,"2012-03-23 21:58:12","2012-03-23 21:58:12",0,0,0,0,0,0,0,0,0,NULL
1979,74,"Hirsch - Programa 3",828,"","Sala Leopoldo Lugones",NULL,"2012-04-18","17:00:00",1,0,0,"",NULL,NULL,3,"2012-03-23 22:00:49","2012-03-23 22:00:49",829,830,831,832,833,0,0,0,0,NULL
1980,20,"Las flores de mi familia ",478,"","NULL",NULL,"2012-04-22","20:00:00",1,0,0,"",NULL,NULL,12,"2012-03-23 22:00:59","2012-03-26 18:51:57",0,0,0,0,0,0,0,0,0,NULL
